title,gross,lifetime_gross,movie_facebook_likes,imdb_score,title_year,actor_1_name,actor_2_name,actor_3_name
The Water Diviner,4190530.0,4196641,18000,7.1,2014.0,Cem Yilmaz,Ryan Corr,Steve Bastoni
The Hundred-Foot Journey,54235441.0,54240821,55000,7.3,2014.0,Manish Dayal,Charlotte Le Bon,Juhi Chawla
Son of God,59696176.0,59700064,15000,5.6,2014.0,Roma Downey,Amber Rose Revah,Darwin Shaw
The Informant!,33313582.0,33316821,0,6.5,2009.0,Matt Damon,Joel McHale,Thomas F. Wilson
Delivery Man,30659817.0,30664106,0,6.4,2013.0,Jack Reynor,Bobby Moynihan,Matthew Daddario
Our Kind of Traitor,3108216.0,3153157,0,6.4,2016.0,Radivoje Bukvic,Pawel Szajda,Grigoriy Dobrygin
Diary of a Wimpy Kid: Dog Days,49002815.0,49008662,0,6.4,2012.0,Zachary Gordon,Rachael Harris,Karan Brar
"Hail, Caesar!",29997095.0,30498085,23000,6.4,2016.0,Scarlett Johansson,Channing Tatum,Alden Ehrenreich
Homefront,19783777.0,20158898,15000,6.5,2013.0,Jason Statham,James Franco,Frank Grillo
The Transporter Refueled,16027866.0,16029670,0,5.1,2015.0,Ed Skrein,Noémie Lenoir,Radivoje Bukvic
Hit and Run,13746550.0,13749300,0,6.1,2012.0,Bradley Cooper,Tom Arnold,Beau Bridges
Mad Money,20668843.0,20668843,687,5.8,2008.0,Stephen Root,Ted Danson,Roger Cross
Stone,1796024.0,1810078,0,5.4,2010.0,Robert De Niro,Milla Jovovich,Frances Conroy
Out of the Furnace,11326836.0,11330849,17000,6.8,2013.0,Christian Bale,Sam Shepard,Dendrie Taylor
Underdogs,,35271,0,6.7,2013.0,Pablo Rago,Diego Ramos,Gabriel Almirón
To Rome with Love,16684352.0,16685867,18000,6.3,2012.0,Ornella Muti,Judy Davis,Alessandra Mastronardi
Silver Linings Playbook,132088910.0,132092958,117000,7.8,2012.0,Jennifer Lawrence,Robert De Niro,Bradley Cooper
For Colored Girls,37721949.0,37729698,0,6.0,2010.0,Omari Hardwick,Loretta Devine,Kimberly Elise
Never Back Down,24848292.0,24850922,0,6.6,2008.0,Djimon Hounsou,Neil Brown Jr.,Leslie Hope
Away We Go,9430988.0,9451946,7000,7.1,2009.0,Catherine O'Hara,Jim Gaffigan,Carmen Ejogo
Swing Vote,16284360.0,16289867,1000,6.1,2008.0,Madeline Carroll,Judge Reinhold,Nathan Lane
The Beaver,958319.0,970816,17000,6.7,2011.0,Jennifer Lawrence,Cherry Jones,Riley Thomas Stewart
Beverly Hills Chihuahua,94497271.0,94514402,0,3.7,2008.0,Jamie Lee Curtis,Nick Zano,Ali Hillis
The Conjuring,137387272.0,137400141,131000,7.5,2013.0,Mackenzie Foy,Lili Taylor,Hayley McFarland
Tammy,84518155.0,84525432,11000,4.9,2014.0,Gary Cole,Mark Duplass,Ben Falcone
The Descendants,82624961.0,82584160,22000,7.3,2011.0,Shailene Woodley,Nick Krause,Beau Bridges
The Last Song,62933793.0,62950384,10000,5.8,2010.0,Kelly Preston,Bobby Coleman,Melissa Ordway
12 Years a Slave,56667870.0,56671993,83000,8.1,2013.0,Quvenzhané Wallis,Scoot McNairy,Taran Killam
Me Before You,56154094.0,56245075,51000,7.6,2016.0,Sam Claflin,Emilia Clarke,Brendan Coyle
Bad Moms,55461307.0,113257297,18000,6.7,2016.0,Mila Kunis,Jay Hernandez,Jada Pinkett Smith
Bad Moms,55461307.0,113257297,18000,6.7,2016.0,Mila Kunis,Jay Hernandez,Jada Pinkett Smith
Selma,52066000.0,52076908,22000,7.5,2014.0,David Oyelowo,Tom Wilkinson,Oprah Winfrey
Orphan,41573740.0,41596251,20000,7.0,2009.0,Jimmy Bennett,CCH Pounder,Aryana Engineer
Max,42652003.0,539879,33000,6.8,2015.0,Jay Hernandez,Joseph Julian Soria,Edgar Arreola
Spotlight,44988180.0,45055776,80000,8.1,2015.0,Billy Crudup,Jamey Sheridan,Brian d'Arcy James
Lakeview Terrace,39263506.0,39263506,0,6.1,2008.0,Jay Hernandez,Justin Chambers,Robert Pine
The American,35596227.0,35606376,10000,6.3,2010.0,Violante Placido,Thekla Reuten,Filippo Timi
Vampires Suck,36658108.0,36661504,16000,3.5,2010.0,Diedrich Bader,Dave Foley,Anneliese van der Pol
Doubt,33422556.0,33446470,0,7.5,2008.0,Philip Seymour Hoffman,Meryl Streep,Carrie Preston
Texas Chainsaw 3D,34334256.0,34341945,16000,4.8,2013.0,Gunnar Hansen,Keram Malicki-Sánchez,Shaun Sipos
Scary Movie 5,32014289.0,32015787,13000,3.5,2013.0,Marisa Saks,Snoop Dogg,Molly Shannon
Milk,31838002.0,31841299,10000,7.6,2008.0,James Franco,Denis O'Hare,Lucas Grabeel
Risen,36874745.0,36880033,21000,6.3,2016.0,Peter Firth,Jan Cornet,María Botto
A Very Harold & Kumar 3D Christmas,35033759.0,35061031,21000,6.3,2011.0,Patton Oswalt,Thomas Lennon,Paula Garcés
The Stepfather,29062561.0,2488740,0,5.6,2009.0,Sela Ward,Paige Turco,Skyler Samuels
The Debt,31146570.0,31177548,0,6.9,2010.0,Tom Wilkinson,Jesper Christensen,Romi Aboulafia
One Missed Call,26876529.0,26890041,0,3.9,2008.0,Johnny Lewis,Jason Beghe,Margaret Cho
The Bank Job,30028592.0,30060660,0,7.3,2008.0,Jason Statham,Saffron Burrows,Daniel Mays
You Again,25677801.0,25702053,0,5.8,2010.0,Jamie Lee Curtis,James Wolk,Christine Lakin
Street Kings,26415649.0,26418667,0,6.8,2008.0,Keanu Reeves,Chris Evans,Noel Gugliemi
The World's End,26003149.0,26004851,49000,7.0,2013.0,Michael Smiley,Thomas Law,Jasper Levine
Daybreakers,29975979.0,30101577,0,6.5,2009.0,Jay Laga'aia,Damien Garvey,Tiffany Lamb
She's Out of My League,31584722.0,32010860,0,6.4,2010.0,Mike Vogel,Kim Shaw,Geoff Stults
Monte Carlo,23179303.0,23186769,6000,5.8,2011.0,Leighton Meester,Luke Bracey,Brett Cullen
Alpha and Omega,25077977.0,25107267,0,5.3,2010.0,Kevin Sussman,Larry Miller,Christine Lakin
Shorts,20916309.0,20919166,431,4.9,2009.0,Jimmy Bennett,Leo Howard,Jake Short
Nerve,28876924.0,38583626,0,7.1,2016.0,Samira Wiley,Marc John Jefferies,Emily Meade
Appaloosa,20207003.0,20211394,0,6.8,2008.0,Viggo Mortensen,James Gammon,Tom Bower
My Best Friend's Girl,19151864.0,19219250,0,5.9,2008.0,Dane Cook,Taran Killam,Riki Lindhome
Endless Love,23393765.0,31184024,0,6.3,2014.0,Alex Pettyfer,Bruce Greenwood,Rhys Wakefield
Silent Hill: Revelation 3D,17529157.0,17529157,25000,5.0,2012.0,Radha Mitchell,Deborah Kara Unger,Martin Donovan
Capitalism: A Love Story,14359793.0,14363397,10000,7.4,2009.0,Ronald Reagan,Michael Moore,Bernie Sanders
Disaster Movie,14174654.0,14190901,0,1.9,2008.0,Carmen Electra,Tony Cox,Ike Barinholtz
Armored,15988876.0,15988876,0,5.7,2009.0,Andrew Fiscella,Fred Ward,Lorna Raver
What's Your Number?,13987482.0,14011084,0,6.0,2011.0,Chris Evans,Ari Graynor,Ed Begley Jr.
Lockout,14291570.0,14326864,10000,6.1,2012.0,Joseph Gilgun,Vincent Regan,Jacky Ido
Crank: High Voltage,13630226.0,13684249,0,6.2,2009.0,Jason Statham,Clifton Collins Jr.,David Carradine
Ghost Town,13214030.0,13367624,0,6.7,2008.0,Aasif Mandvi,Dequina Moore,Jordan Carlos
12 Rounds,12232937.0,12234694,0,5.6,2009.0,Taylor Cole,Ashley Scott,Nick Gomez
Let Me In,12134420.0,12134935,25000,7.2,2010.0,Chloë Grace Moretz,Dylan Minnette,Kodi Smit-McPhee
Triple 9,12626905.0,12639297,0,6.3,2016.0,Kate Winslet,Norman Reedus,Clifton Collins Jr.
Burnt,13650738.0,13651946,25000,6.6,2015.0,Bradley Cooper,Omar Sy,Riccardo Scamarcio
Everybody's Fine,8855646.0,9208876,10000,7.2,2009.0,Robert De Niro,James Frain,Brendan Sexton III
Inherent Vice,8093318.0,8110975,18000,6.7,2014.0,Martin Dew,Katherine Waterston,Serena Scott Thomas
Battle of the Year,8888355.0,8888355,0,5.0,2013.0,Chris Brown,Caity Lotz,Laz Alonso
An American Carol,7001720.0,7013191,797,4.3,2008.0,Chriss Anglin,Geoffrey Arend,Gary Coleman
Machete Kills,7268659.0,8008161,48000,5.6,2013.0,Alexa PenaVega,Demián Bichir,Marko Zaror
Strange Wilderness,6563357.0,6575282,847,5.3,2008.0,Kevin Alejandro,Ashley Scott,Jeff Garlin
Little Boy,6420319.0,6485961,15000,7.4,2015.0,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport
A Dangerous Method,5702083.0,5704709,36000,6.5,2011.0,Michael Fassbender,Viggo Mortensen,Sarah Gadon
Chasing Mavericks,6002756.0,6002756,13000,7.2,2012.0,Gerard Butler,Abigail Spencer,Leven Rambin
Bandslam,5205343.0,5210988,1000,6.4,2009.0,Scott Porter,Charlie Saxton,Ryan Donowho
A Most Violent Year,5749134.0,5749134,0,7.0,2014.0,David Oyelowo,Ashley Williams,Albert Brooks
Flash of Genius,4234040.0,4442377,0,7.0,2008.0,Dylan Authors,Bill Lake,Victoria Learn
The Cold Light of Day,3749061.0,3763583,0,4.9,2012.0,Henry Cavill,Bruce Willis,Óscar Jaenada
The Brothers Bloom,3519627.0,3531756,0,6.9,2008.0,Zachary Gordon,Maximilian Schell,Nora Zehetner
"Synecdoche, New York",3081925.0,3083538,13000,7.5,2008.0,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton
The Children of Huang Shi,1027749.0,1031872,1000,7.1,2008.0,Radha Mitchell,Guang Li,Matthew Walker
By the Sea,531009.0,538460,0,5.3,2015.0,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud
All Good Things,578382.0,582024,0,6.3,2010.0,Ryan Gosling,Kirsten Dunst,Frank Langella
CJ7,206678.0,207378,1000,6.5,2008.0,Jiao Xu,Yuqi Zhang,Chi Chung Lam
Dylan Dog: Dead of Night,1183354.0,1186538,0,5.1,2010.0,Marco St. John,Laura Spencer,Anita Briem
The Tempest,263365.0,277943,0,5.4,2010.0,Djimon Hounsou,Reeve Carney,Tom Conti
Regression,54734.0,55039,0,5.7,2015.0,Emma Watson,Aaron Ashmore,Julian Richings
Hands of Stone,,4712792,0,7.2,2016.0,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez
The Baader Meinhof Complex,476270.0,476270,0,7.4,2008.0,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck
Bad Teacher,100292856.0,100292856,16000,5.7,2011.0,Justin Timberlake,John Michael Higgins,Phyllis Smith
The Switch,27758465.0,27779426,0,6.1,2010.0,Caroline Dhavernas,Scott Elrod,Kelli Barrett
The Devil's Double,1357042.0,1361512,14000,7.1,2011.0,Mem Ferda,Dominic Cooper,Ludivine Sagnier
The Crazies,39103378.0,39123589,0,6.5,2010.0,Radha Mitchell,Glenn Morshower,John Aylward
Firestorm,,8165212,332,6.2,2013.0,Andy Lau,Michael Wong,Terence Yin
The Book Thief,21483154.0,21488481,53000,7.6,2013.0,Emily Watson,Sophie Nélisse,Roger Allam
Sex Drive,8396942.0,8402485,0,6.5,2008.0,Katrina Bowden,Michael Cudlitz,Alice Greczyn
Leap Year,12561.0,25918920,13000,6.4,2010.0,Adam Scott,Kaitlin Olson,Dominique McElligott
Take Me Home Tonight,6923891.0,6928068,0,6.3,2011.0,Topher Grace,Michael Biehn,Dan Fogler
Won't Back Down,5308553.0,5310554,0,6.4,2012.0,Holly Hunter,Rosie Perez,Dante Brown
Indignation,560512.0,3401155,599,7.8,2016.0,Logan Lerman,Sarah Gadon,Tracy Letts
The Invention of Lying,18439082.0,18451251,13000,6.4,2009.0,Jennifer Garner,Tina Fey,Martin Starr
Neighbors,150056505.0,150157400,21000,6.4,2014.0,Craig Roberts,Carla Gallo,Ike Barinholtz
Left Behind,13998282.0,4224065,31000,3.1,2014.0,Nicolas Cage,Lea Thompson,Quinton Aaron
Left Behind,13998282.0,4224065,31000,3.1,2014.0,Nicolas Cage,Lea Thompson,Quinton Aaron
My Big Fat Greek Wedding 2,59573085.0,59689605,19000,6.1,2016.0,Nia Vardalos,Louis Mandylor,Joey Fatone
Diary of a Wimpy Kid: Rodrick Rules,52691009.0,52698535,0,6.6,2011.0,Zachary Gordon,Rachael Harris,Fran Kranz
Prom Night,43818159.0,14796236,1000,3.9,2008.0,Ming-Na Wen,Scott Porter,Collins Pennie
Blue Jasmine,33404871.0,33405481,36000,7.3,2013.0,Sally Hawkins,Charlie Tahan,Andrew Dice Clay
Soul Surfer,43853424.0,43853424,15000,7.1,2011.0,Dennis Quaid,Chris Brochu,Craig T. Nelson
Observe and Report,23993605.0,24007324,0,5.8,2009.0,Collette Wolfe,Celia Weston,Dan Bakkedahl
Love Happens,22927390.0,22965110,0,5.6,2009.0,Judy Greer,Sasha Alexander,Frances Conroy
127 Hours,18329466.0,18335230,63000,7.6,2010.0,James Franco,Treat Williams,Kate Burton
Love the Coopers,26284475.0,26302731,0,5.7,2015.0,Olivia Wilde,Alex Borstein,Timothée Chalamet
Steve Jobs,17750583.0,17766658,23000,7.2,2015.0,Kate Winslet,Michael Fassbender,Michael Stuhlbarg
Youth in Revolt,15281286.0,15281286,0,6.5,2009.0,Steve Buscemi,Ari Graynor,Fred Willard
And So It Goes,15155772.0,15160801,3000,5.7,2014.0,Yaya DaCosta,Annie Parisse,Frankie Valli
The Last Station,6615578.0,6617867,0,7.0,2009.0,David Masterson,Kerry Condon,Anne-Marie Duff
Labor Day,13362308.0,13371528,0,6.9,2013.0,J.K. Simmons,Kate Winslet,Brooke Smith
Mao's Last Dancer,4806750.0,4817770,0,7.4,2009.0,Bruce Greenwood,Suzie Steen,Aden Young
Midnight Special,3707794.0,3712282,0,6.7,2016.0,Kirsten Dunst,Sam Shepard,Paul Sparks
The Railway Man,4435083.0,4438438,18000,7.1,2013.0,Jeremy Irvine,Colin Firth,Sam Reid
The White Ribbon,2222647.0,2222862,0,7.8,2009.0,Ulrich Tukur,Burghart Klaußner,Leonie Benesch
Restoration,,4005941,378,4.0,2016.0,Zack Ward,Anna Harr,James Cullen Bressack
Metallica Through the Never,3419967.0,3419967,19000,7.2,2013.0,James Hetfield,Mackenzie Gray,Lars Ulrich
The Informers,,300000,1000,5.1,2008.0,Austin Nichols,Brad Renfro,Lou Taylor Pucci
Red Lights,,673828,10000,6.2,2012.0,Robert De Niro,Toby Jones,Craig Roberts
Wolves,,12139,0,5.3,2014.0,Jason Momoa,Jennifer Hale,Stephen McHattie
Black Nativity,7017178.0,7018189,0,4.4,2013.0,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall
Let's Be Cops,82389560.0,82390774,14000,6.5,2014.0,Rob Riggle,Damon Wayans Jr.,James D'Arcy
The Best Man Holiday,70492685.0,70525195,7000,6.7,2013.0,Harold Perrineau,Sanaa Lathan,Eddie Cibrian
Beastly,27854896.0,27865571,16000,5.6,2011.0,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen
"McFarland, USA",44469602.0,44482410,21000,7.4,2015.0,Morgan Saylor,Valente Rodriguez,Diana Maria Riva
Lottery Ticket,24708699.0,24719879,0,4.9,2010.0,Brandon T. Jackson,Loretta Devine,Shad Moss
Pitch Perfect,64998368.0,65001093,36000,7.2,2012.0,Anna Kendrick,Hana Mae Lee,Ben Platt
Brooklyn's Finest,27154426.0,27163593,4000,6.7,2009.0,Don Cheadle,Lili Taylor,Armando Riesco
My Life in Ruins,8662318.0,8665206,0,5.9,2009.0,Nia Vardalos,Harland Williams,Rachel Dratch
Escobar: Paradise Lost,106869.0,195792,0,6.6,2014.0,Josh Hutcherson,Brady Corbet,Carlos Bardem
The Apparition,4930798.0,4936819,0,4.1,2012.0,Julianna Guill,Rick Gomez,Tim Williams
The Artist,44667095.0,44671682,30000,8.0,2011.0,Bérénice Bejo,Ed Lauter,Beth Grant
Moonrise Kingdom,45507053.0,45512466,71000,7.8,2012.0,Bruce Willis,Bill Murray,Bob Balaban
The Young Messiah,6462576.0,6490401,0,5.4,2016.0,Clive Russell,Vincent Walsh,Finn Ireland
The Roommate,37300107.0,37300107,0,4.8,2011.0,Leighton Meester,Danneel Ackles,Frances Fisher
Vicky Cristina Barcelona,23213577.0,23216709,14000,7.2,2008.0,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch
Jennifer's Body,16204793.0,16204793,6000,5.1,2009.0,J.K. Simmons,Amy Sedaris,Cynthia Stevenson
Remember Me,19057024.0,19068240,24000,7.2,2010.0,Robert Pattinson,Lena Olin,Ruby Jerins
The Immigrant,1984743.0,2025328,0,6.6,2013.0,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan
Trance,2319187.0,2328743,23000,7.0,2013.0,Rosario Dawson,Spencer Wilding,Tuppence Middleton
Trance,2319187.0,2328743,23000,7.0,2013.0,Rosario Dawson,Spencer Wilding,Tuppence Middleton
Good,23091.0,27276,921,6.2,2008.0,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh
Enter the Void,336467.0,336467,23000,7.3,2009.0,Paz de la Huerta,Emily Alyn Lind,Olly Alexander
Vamps,2964.0,3361,0,5.1,2012.0,Taylor Negron,Justin Kirk,Ivan Sergei
The Homesman,2428883.0,2429989,0,6.6,2014.0,Barry Corbin,Tim Blake Nelson,Miranda Otto
The King's Speech,138795342.0,138797449,64000,8.0,2010.0,Colin Firth,Jennifer Ehle,Derek Jacobi
The Yellow Handkerchief,317040.0,318623,1000,6.8,2008.0,Kristen Stewart,Eddie Redmayne,William Hurt
The Imitation Game,91121452.0,91125683,165000,8.1,2014.0,Benedict Cumberbatch,Rory Kinnear,Allen Leech
Diary of a Wimpy Kid,64001297.0,64003625,0,6.2,2010.0,Chloë Grace Moretz,Zachary Gordon,Rachael Harris
Mama,71588220.0,71628180,57000,6.2,2013.0,Javier Botet,Megan Charpentier,Isabelle Nélisse
The Woman in Black,54322273.0,54333290,29000,6.4,2012.0,Daniel Radcliffe,Roger Allam,Jessica Raine
Snitch,42919096.0,42930462,12000,6.5,2013.0,Dwayne Johnson,Harold Perrineau,Nadine Velazquez
Snitch,42919096.0,42930462,12000,6.5,2013.0,Dwayne Johnson,Harold Perrineau,Nadine Velazquez
Krampus,42592530.0,42725475,27000,6.2,2015.0,Adam Scott,Conchata Ferrell,Allison Tolman
End of Watch,40983001.0,41003371,38000,7.7,2012.0,Jake Gyllenhaal,Anna Kendrick,America Ferrera
The Theory of Everything,35887263.0,35893537,90000,7.7,2014.0,Eddie Redmayne,Emily Watson,Simon McBurney
Halloween II,33386128.0,25533818,3000,4.9,2009.0,Scout Taylor-Compton,Tyler Mane,Margot Kidder
Halloween II,33386128.0,25533818,3000,4.9,2009.0,Scout Taylor-Compton,Tyler Mane,Margot Kidder
Drive,35054909.0,15084,81000,7.8,2011.0,Ryan Gosling,Albert Brooks,Russ Tamblyn
When the Game Stands Tall,30127963.0,30127963,0,6.7,2014.0,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain
All About Steve,33860010.0,33862903,0,4.8,2009.0,Bradley Cooper,Katy Mixon,Beth Grant
Ramona and Beezus,26161406.0,26167002,0,6.7,2010.0,Sierra McCormick,Hutch Dano,Jason Spevack
Keanu,20566327.0,20591853,0,6.4,2016.0,Nia Long,Will Forte,Keegan-Michael Key
Country Strong,20218921.0,20218921,0,6.3,2010.0,Leighton Meester,Cinda McCain,Tim McGraw
The Place Beyond the Pines,21383298.0,21403519,47000,7.3,2012.0,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza
The November Man,24984868.0,25018119,0,6.3,2014.0,Luke Bracey,Akie Kotabe,Will Patton
The Hurt Locker,15700000.0,17017811,16000,7.6,2008.0,Jeremy Renner,Christian Camargo,Brian Geraghty
Killing Them Softly,14938570.0,15026056,20000,6.2,2012.0,Brad Pitt,Sam Shepard,Ben Mendelsohn
A Most Wanted Man,17237244.0,17237855,13000,6.8,2014.0,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi
One Day,13766014.0,13843771,49000,7.0,2011.0,Anne Hathaway,Jim Sturgess,Rafe Spall
Whip It,13034417.0,13043363,10000,6.9,2009.0,Daniel Stern,Jimmy Fallon,Alia Shawkat
The Man with the Iron Fists,15608545.0,15634090,29000,5.4,2012.0,Rick Yune,RZA,Daniel Wu
In Bruges,7757130.0,7800824,32000,8.0,2008.0,Elizabeth Berrington,Anna Madeley,Eric Godon
The Rocker,6409206.0,6409528,0,6.2,2008.0,Emma Stone,Bradley Cooper,Josh Gad
Post Grad,6373693.0,6380019,0,5.3,2009.0,J.K. Simmons,Zach Gilford,Bobby Coleman
Promised Land,7556708.0,316199,10000,6.6,2012.0,Matt Damon,Hal Holbrook,Terry Kinney
Whatever Works,5306447.0,5306706,10000,7.2,2009.0,Larry David,Michael McKean,Conleth Hill
You Will Meet a Tall Dark Stranger,3247816.0,3248246,0,6.3,2010.0,Anthony Hopkins,Naomi Watts,Ewen Bremner
Never Let Me Go,2412045.0,2434652,33000,7.2,2010.0,Andrew Garfield,Charlie Rowe,Charlotte Rampling
Transsiberian,2203641.0,2206405,0,6.7,2008.0,Thomas Kretschmann,Eduardo Noriega,Mac McDonald
The Assassin,613556.0,632542,0,6.4,2015.0,Qi Shu,Chen Chang,Satoshi Tsumabuki
Centurion,122288.0,123570,0,6.4,2010.0,Michael Fassbender,JJ Feild,Dave Legeno
Winnie Mandela,,80634,705,6.0,2011.0,Jennifer Hudson,Wendy Crewson,Aubrey Poo
The Son of No One,28870.0,30680,0,5.1,2011.0,Channing Tatum,Al Pacino,Tracy Morgan
Khumba,,1029,0,5.8,2013.0,Liam Neeson,Steve Buscemi,Loretta Devine
Magic Mike XXL,66009973.0,66013057,41000,5.7,2015.0,Matt Bomer,Channing Tatum,Kevin Nash
Sarah's Key,7691700.0,7693187,0,7.5,2010.0,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj
Slumdog Millionaire,141319195.0,141319928,13000,8.0,2008.0,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar
The Iron Lady,29959436.0,30017992,18000,6.4,2011.0,Meryl Streep,Jim Broadbent,Olivia Colman
A Perfect Getaway,15483540.0,15515460,4000,6.5,2009.0,Chris Hemsworth,Milla Jovovich,Marley Shelton
Our Family Wedding,20246959.0,20255281,1000,4.9,2010.0,America Ferrera,Lance Gross,Lupe Ontiveros
Fun Size,9402410.0,9409538,0,5.4,2012.0,Thomas McDonell,Jackson Nicoll,Osric Chau
Easy Virtue,2656324.0,2656784,2000,6.7,2008.0,Colin Firth,Kristin Scott Thomas,Kris Marshall
Mr. Turner,3958500.0,3958500,0,6.8,2014.0,Lesley Manville,Ruth Sheen,Karl Johnson
Wild Grass,403649.0,403952,512,6.3,2009.0,Mathieu Amalric,Sara Forestier,Edouard Baer
The Lucky Ones,183088.0,266967,702,7.0,2008.0,John Heard,Katherine LaNasa,Mark L. Young
Margaret,46495.0,46495,0,6.5,2011.0,Matt Damon,Kieran Culkin,John Gallagher Jr.
Flipped,1752214.0,1755212,14000,7.7,2010.0,Madeline Carroll,Rebecca De Mornay,Aidan Quinn
Hot Tub Time Machine 2,12282677.0,12314651,0,5.1,2015.0,Adam Scott,Gillian Jacobs,Collette Wolfe
Seven Psychopaths,14989761.0,15024049,52000,7.2,2012.0,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg
Under the Skin,2605039.0,140254,29000,6.3,2013.0,Scarlett Johansson,Paul Brannigan,Alison Chand
The Last Godfather,163591.0,164247,502,3.6,2010.0,Jason Mewes,Stephanie Danielson,Michael Rispoli
Justin Bieber: Never Say Never,73000942.0,73013910,62000,1.6,2011.0,Usher Raymond,Sean Kingston,Boys II Men
Black Swan,106952327.0,106954678,106000,8.0,2010.0,Natalie Portman,Mila Kunis,Mark Margolis
Miracles from Heaven,61693523.0,61705123,16000,6.8,2016.0,Jennifer Garner,Brighton Sharbino,Martin Henderson
St. Vincent,44134898.0,44137712,33000,7.3,2014.0,Bill Murray,Naomi Watts,Reg E. Cathey
The Shallows,54257433.0,55124043,0,6.8,2016.0,Óscar Jaenada,Brett Cullen,Sedona Legge
No Good Deed,52543632.0,181600,0,5.6,2014.0,Leslie Bibb,Kate del Castillo,Henry Simmons
Ex Machina,25440971.0,25442958,109000,7.7,2015.0,Elina Alminas,Sonoya Mizuno,Corey Johnson
Earth to Echo,38916903.0,38934842,0,5.8,2014.0,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford
Room,14677654.0,14677654,72000,8.3,2015.0,Joan Allen,Jacob Tremblay,Cas Anvar
Room,14677654.0,5228,72000,8.3,2015.0,Joan Allen,Jacob Tremblay,Cas Anvar
Admission,18004225.0,18007317,5000,5.7,2013.0,Tina Fey,Sarita Choudhury,Christopher Evan Welch
Chloe,3074838.0,3075255,0,6.3,2009.0,Liam Neeson,Meghan Heffern,Natalie Lisinska
The Perks of Being a Wallflower,17738570.0,17742948,131000,8.0,2012.0,Logan Lerman,Ezra Miller,Kate Walsh
The Vatican Tapes,1712111.0,1784763,0,4.5,2015.0,Djimon Hounsou,Alison Lohman,Dougray Scott
Attack the Block,1024175.0,1024175,18000,6.6,2011.0,John Boyega,Luke Treadaway,Jodie Whittaker
In the Land of Blood and Honey,301305.0,303877,0,4.3,2011.0,Jelena Jovanova,Nikola Djuricko,Branko Djuric
The Call,51872378.0,51872378,23000,6.7,2013.0,Michael Imperioli,Tara Platt,Roma Maffia
Operation Chromite,31662.0,1023348,139,6.8,2016.0,Liam Neeson,Dean Dawson,Jung-jae Lee
The Killer Inside Me,214966.0,217277,0,6.1,2010.0,Liam Aiken,Ned Beatty,Jay R. Ferguson
Sorority Row,11956207.0,11965282,0,5.1,2009.0,Julian Morris,Margo Harshman,Rumer Willis
The Boy in the Striped Pajamas,9030581.0,9046156,38000,7.8,2008.0,Richard Johnson,Sheila Hancock,Cara Horgan
Solitary Man,4360548.0,4360548,0,6.4,2009.0,Jenna Fischer,David Costabile,Richard Schiff
Machete,26589953.0,26593646,44000,6.7,2010.0,Robert De Niro,Don Johnson,Cheech Marin
Casino Jack,1039869.0,1042959,0,6.2,2010.0,Kevin Spacey,Eric Schweig,Christian Campbell
The Perfect Game,1089445.0,1037071,0,7.0,2009.0,Clifton Collins Jr.,Cheech Marin,Bruce McGill
Ernest & Celestine,71442.0,262075,0,7.9,2012.0,Mackenzie Foy,Megan Mullally,Lambert Wilson
Think Like a Man,91547205.0,91547205,0,6.6,2012.0,Chris Brown,Romany Malco,Regina Hall
Act of Valor,70011073.0,70012847,15000,6.5,2012.0,Alex Veadov,Jason Cottle,Rorke Denver
Project X,54724272.0,54731865,29000,6.7,2012.0,Dax Flame,Kirby Bliss Blanton,Oliver Cooper
Quarantine,31691811.0,31691811,0,6.0,2008.0,Andrew Fiscella,Jay Hernandez,Dania Ramirez
The Eye,31397498.0,31418697,0,5.4,2008.0,Chloë Grace Moretz,Alessandro Nivola,Obba Babatundé
Katy Perry: Part of Me,25240988.0,25326071,0,5.9,2012.0,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell
Top Five,25277561.0,25317379,0,6.5,2014.0,Rosario Dawson,Romany Malco,J.B. Smoove
Philomena,37707719.0,37709979,37000,7.6,2013.0,Steve Coogan,Mare Winningham,Peter Hermann
Paper Towns,31990064.0,32000304,0,6.4,2015.0,Nat Wolff,Cara Delevingne,Meg Crosbie
Nebraska,17613460.0,17654912,28000,7.8,2013.0,Devin Ratray,Bruce Dern,Will Forte
Young Adult,16300302.0,16311571,0,6.3,2011.0,Charlize Theron,Patton Oswalt,Collette Wolfe
